
-- 1 --
Type: 0 | Pos: 2.7207906427793205 6.2394824703224 | Vel: 6199847.01590661 6798184.772116964 
Type: 0 | Pos: 18.825357681127905 0.18522677174314595 | Vel: -58.08072873489174 -12355.534299514724 
Type: 0 | Pos: 14.97956674080342 3.6686532073654234 | Vel: -5215886.885106903 -4642873.284974455 
-- 18 --
Type: 0 | Pos: 3.5846882958430797 17.47466528485529 | Vel: -983915.977259272 -2142866.0204067663 
Type: 0 | Pos: 6.561367229524098 15.881079038991075 | Vel: 17.294717862828236 -87.13668708597423 
Type: 0 | Pos: 6.228979370556772 18.62472776742652 | Vel: 6199847.04089313 6798184.826766917 
Type: 0 | Pos: 11.480899089969537 3.843562976391695 | Vel: -54.68916228045197 -12352.699547651262 
Type: 0 | Pos: 11.536647784989327 7.026568291708827 | Vel: -5215886.885546958 -4642873.267906746 
-- 19 --
Type: 0 | Pos: 5.576422364276368 4.460531776770949 | Vel: -983916.0117038174 -2142866.038672273 
Type: 0 | Pos: 15.216099560967965 12.28852294284739 | Vel: 17.309814559894733 -87.18502811886812 
Type: 0 | Pos: 9.761683772783726 11.066249386873096 | Vel: 6199847.84898089 6798185.195829413 
Type: 0 | Pos: 4.136195400675936 7.485679120481109 | Vel: -54.694998136037675 -12352.706009150386 
Type: 0 | Pos: 8.094019782729447 10.40074646146968 | Vel: -5215887.6684152745 -4642873.563867211 
